Hochgeladen?,URL,Framework,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM
TRUE,https://www.instagram.com/greator/reel/C0PALOMIgGn/,,Greator,374.000,5.937,89,,,
TRUE,https://youtube.com/shorts/uJvraOJBKKI,,Greator,373.752,10.764,414,,,
TRUE,https://www.instagram.com/greator/reel/C-2ZoWLv0LD/,,Greator,371.000,10.100,100,,,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7143637340441939206,,Rafael Bettencourt,369.700,20.400,126,192,7.160,
TRUE,https://www.facebook.com/reel/689405936633187,,Meet Your Master,366.000,782,89,6,,
TRUE,https://www.facebook.com/reel/683055077323451,,Meet Your Master,365.000,1.178,51,25,,
TRUE,https://www.instagram.com/greator/reel/ChNJyHtMPyW/,,Greator,364.000,3.950,136,,,
TRUE,https://www.facebook.com/reel/732321042197838,,Greator,364.000,3.340,168,114,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7266087595560488225,,Fuat & Marta,363.400,12.200,81,1.468,3.557,
TRUE,https://www.instagram.com/reel/C-IeQsisOqk/,,Finanzfluss,358.633,9.668,213,12,,
TRUE,https://www.instagram.com/greator/reel/CkWOSLPpjzz/,,Greator,358.000,7.900,70,,,
TRUE,https://youtube.com/shorts/M_8WeTyVlpE,,Finanzfluss,357.255,8.170,87,,,
TRUE,https://www.instagram.com/reel/C--m68Zoyr-/,,Finanzfluss,350.548,2.155,88,3,,
TRUE,https://www.tiktok.com/@finanzfluss_official/video/7411594785376537889,,Finanzfluss,347.900,9.404,48,,,
TRUE,https://www.instagram.com/greator/reel/CfmSooXjGZF/,,Greator,346.000,5.320,51,,,
TRUE,https://www.facebook.com/reel/7136039953114999,,Greator,346.000,1.803,125,100,,
TRUE,https://www.instagram.com/greator/reel/C8hfl0-O2Im/,,Greator,345.000,4.679,205,,,
TRUE,https://www.facebook.com/reel/960474712508447,,Fuat & Marta,338.000,2.064,94,228,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7218211641975147781,,Fuat & Marta,337.700,13.500,184,853,5.569,
TRUE,https://www.instagram.com/silke.schaefer.astrologie/reel/DAi-KchKn9m/,,Silke Schäfer,337.000,10.800,187,,,
TRUE,https://www.tiktok.com/@greator/video/7425282920979483936,,Greator,335.800,10.200,890,3,2.935,
TRUE,https://www.tiktok.com/@greator/video/7333269539347598624,,Greator,333.700,29.700,1,6,6.572,
TRUE,https://youtube.com/shorts/Ad_h7skixV0,,Greator,333.472,6.859,151,,,
TRUE,https://www.instagram.com/greator/reel/C0e0LQ5Nps2/,,Greator,333.000,3.286,157,,,
TRUE,https://www.facebook.com/reel/2378842495637523,,Greator,322.000,5.925,229,2.450,,
TRUE,https://www.tiktok.com/@greator/video/7231947650453605637,,Greator,321.400,7.285,221,2,3.183,
TRUE,https://youtube.com/shorts/-bbn86l3Rng,,Greator,320.627,5.919,71,,,
TRUE,https://www.instagram.com/meetyourmaster.de/reel/C92dIHjCR-0/,,Meet Your Master,320.000,4.359,287,,,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7244193450910829829,,Rafael Bettencourt,316.900,18.900,3.039,3.393,3.117,
TRUE,https://www.facebook.com/reel/1200218917746292,,Fuat & Marta,315.000,852,172,43,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7260521204883131675,,Fuat & Marta,314.300,8.864,103,512,1.781,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7236400615432244486,,Rafael Bettencourt,311.100,21.400,158,1.345,8.824,
TRUE,https://www.facebook.com/reel/1737812396690056,,Meet Your Master,311.000,1.370,20,21,,
TRUE,https://www.instagram.com/greator/reel/ChpMT18LrMD/,,Greator,310.000,8.958,77,,,
TRUE,https://www.instagram.com/greator/reel/ChSQEiTNH2m/,,Greator,310.000,7.839,140,,,
TRUE,https://www.instagram.com/greator/reel/CgCk8oXMQEQ/,,Greator,309.000,3.045,41,,,
TRUE,https://www.tiktok.com/@greator/video/7271653819656834336,,Greator,308.500,2.999,329,1,861,
TRUE,https://www.tiktok.com/@fuat_marta/video/7398564210655005984,,Fuat & Marta,308.000,8.868,66,1.107,4.756,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7271282768460385568,,Chris Surel,307.000,13.800,44,,1.233,
TRUE,https://www.tiktok.com/@greator/video/7146280329484012806,,Greator,307.000,24.700,388,3,7.064,
TRUE,https://youtube.com/shorts/jcIrlp6rOQM,,Greator,305.672,7.066,151,,,
TRUE,https://youtube.com/shorts/KoxksqCUrWU,,Finanzfluss,305.049,5.106,245,,,
